track0;track4;track9;track14;track18;trackPos;angle;speedX;accelerate;brake;steering
-1.0;-1.0;-1.0;-1.0;-1.0;2.7796;-1.80025;-0.0757875;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77952;-1.8003;-0.104698;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77944;-1.80031;-0.0781835;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77936;-1.80036;-0.106201;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77928;-1.80036;-0.0778561;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77919;-1.80039;-0.106482;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77912;-1.8004;-0.0818159;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77903;-1.80044;-0.110507;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77895;-1.80045;-0.0841318;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77887;-1.80049;-0.112572;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77879;-1.80049;-0.0858453;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.7787;-1.80053;-0.113725;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77862;-1.80052;-0.08853;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77853;-1.80057;-0.117054;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77844;-1.80057;-0.0914629;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77835;-1.80061;-0.119351;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77827;-1.80062;-0.0929481;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77817;-1.80066;-0.122655;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77808;-1.80067;-0.0961939;0.0;0.0;0.0
-1.0;-1.0;-1.0;-1.0;-1.0;2.77799;-1.80072;-0.125772;0.0;0.0;0.0
