SPEEDX;SPEEDY;ANGLE_TO_TRACK_AXIS;TRACK_POSITION;TRACK_EDGE_SENSOR_4;TRACK_EDGE_SENSOR_6;TRACK_EDGE_SENSOR_8;TRACK_EDGE_SENSOR_9;TRACK_EDGE_SENSOR_10;TRACK_EDGE_SENSOR_12;TRACK_EDGE_SENSOR_14;LABEL
3.8075;-0.0017;0.0004;-0.3337;9.5625;14.5646;38.1940;200.0000;22.2904;7.3514;4.7860;0
4.1301;0.0024;0.0003;-0.3337;9.5616;14.5627;38.1815;200.0000;22.3019;7.3527;4.7867;0
4.4109;0.0027;0.0004;-0.3336;9.5615;14.5636;38.1917;200.0000;22.2968;7.3525;4.7869;0
4.8331;-0.0003;0.0003;-0.3335;9.5601;14.5598;38.1691;200.0000;22.3147;7.3549;4.7879;0
5.1159;0.0015;0.0004;-0.3335;9.5602;14.5610;38.1786;200.0000;22.3106;7.3546;4.7882;0
5.5532;-0.0009;0.0003;-0.3334;9.5595;14.5593;38.1653;200.0000;22.3231;7.3557;4.7885;0
5.8928;-0.0010;0.0003;-0.3334;9.5593;14.5583;38.1622;200.0000;22.3269;7.3564;4.7887;0
6.2480;-0.0004;0.0003;-0.3334;9.5588;14.5564;38.1528;200.0000;22.3353;7.3574;4.7892;0
6.5883;0.0003;0.0003;-0.3334;9.5589;14.5568;38.1526;200.0000;22.3377;7.3569;4.7891;0
6.9372;-0.0005;0.0002;-0.3334;9.5587;14.5560;38.1419;200.0000;22.3471;7.3573;4.7891;0
7.2808;0.0006;0.0002;-0.3334;9.5588;14.5558;38.1410;200.0000;22.3506;7.3576;4.7891;0
7.6296;-0.0008;0.0002;-0.3334;9.5587;14.5545;38.1303;200.0000;22.3594;7.3575;4.7890;0
7.9831;0.0009;0.0002;-0.3335;9.5587;14.5547;38.1297;200.0000;22.3638;7.3576;4.7889;0
8.3409;-0.0010;0.0001;-0.3335;9.5586;14.5538;38.1184;200.0000;22.3721;7.3573;4.7887;0
8.7016;0.0012;0.0001;-0.3336;9.5592;14.5546;38.1184;200.0000;22.3740;7.3569;4.7881;0
9.0652;-0.0013;0.0001;-0.3337;9.5589;14.5530;38.1060;200.0000;22.3847;7.3575;4.7880;0
9.4322;0.0020;0.0001;-0.3338;9.5597;14.5538;38.1074;200.0000;22.3856;7.3561;4.7873;0
9.7819;0.0017;-0.0000;-0.3339;9.5596;14.5524;38.0924;200.0000;22.3986;7.3563;4.7870;0
10.1836;0.0008;-0.0000;-0.3338;9.5592;14.5511;38.0832;200.0000;22.4087;7.3571;4.7872;0
10.5842;-0.0000;-0.0001;-0.3337;9.5580;14.5485;38.0688;200.0000;22.4272;7.3590;4.7882;0
10.9444;0.0004;-0.0001;-0.3337;9.5575;14.5478;38.0648;200.0000;22.4331;7.3593;4.7886;0
11.2935;-0.0003;-0.0002;-0.3336;9.5565;14.5451;38.0505;200.0000;22.4504;7.3611;4.7895;0
11.6743;0.0006;-0.0002;-0.3335;9.5559;14.5436;38.0409;200.0000;22.4630;7.3622;4.7900;0
12.1003;-0.0004;-0.0002;-0.3335;9.5548;14.5406;38.0232;200.0000;22.4804;7.3637;4.7908;0
12.5377;-0.0003;-0.0003;-0.3334;9.5544;14.5390;38.0153;200.0000;22.4940;7.3646;4.7910;0
12.9463;-0.0000;-0.0003;-0.3334;9.5538;14.5371;38.0014;200.0000;22.5090;7.3655;4.7914;0
13.3222;-0.0002;-0.0003;-0.3334;9.5536;14.5366;37.9953;200.0000;22.5186;7.3659;4.7915;0
13.6896;-0.0007;-0.0004;-0.3334;9.5527;14.5341;37.9796;200.0000;22.5389;7.3672;4.7920;0
14.0854;0.0004;-0.0004;-0.3334;9.5527;14.5331;37.9710;200.0000;22.5488;7.3674;4.7919;0
14.5146;0.0002;-0.0005;-0.3335;9.5521;14.5314;37.9567;200.0000;22.5673;7.3682;4.7922;0
15.0343;-0.0001;-0.0006;-0.3335;9.5520;14.5293;37.9413;200.0000;22.5863;7.3686;4.7919;0
15.4415;-0.0005;-0.0006;-0.3336;9.5522;14.5289;37.9334;200.0000;22.5977;7.3685;4.7918;0
15.8366;0.0000;-0.0007;-0.3336;9.5518;14.5279;37.9196;200.0000;22.6149;7.3687;4.7916;0
16.2311;-0.0000;-0.0007;-0.3337;9.5522;14.5275;37.9132;200.0000;22.6258;7.3682;4.7910;0
16.6522;-0.0001;-0.0008;-0.3337;9.5516;14.5251;37.8937;200.0000;22.6491;7.3694;4.7914;0
17.1067;-0.0001;-0.0009;-0.3336;9.5503;14.5218;37.8795;200.0000;22.6713;7.3715;4.7925;0
17.6037;0.0004;-0.0009;-0.3335;9.5487;14.5180;37.8570;200.0000;22.7003;7.3741;4.7936;0
18.0453;-0.0003;-0.0010;-0.3334;9.5476;14.5151;37.8400;200.0000;22.7247;7.3756;4.7945;0
18.5538;-0.0002;-0.0011;-0.3333;9.5465;14.5123;37.8230;200.0000;22.7481;7.3776;4.7952;0
18.9884;-0.0000;-0.0011;-0.3333;9.5458;14.5100;37.8098;200.0000;22.7711;7.3787;4.7957;0
19.4318;-0.0001;-0.0012;-0.3332;9.5444;14.5065;37.7903;200.0000;22.7990;7.3808;4.7969;0
19.9131;0.0000;-0.0013;-0.3332;9.5438;14.5045;37.7739;200.0000;22.8233;7.3819;4.7971;0
20.3948;-0.0000;-0.0014;-0.3332;9.5427;14.5008;37.7548;200.0000;22.8511;7.3835;4.7977;0
20.8979;-0.0002;-0.0014;-0.3332;9.5421;14.4988;37.7368;200.0000;22.8761;7.3846;4.7978;0
21.4407;0.0001;-0.0015;-0.3332;9.5413;14.4957;37.7184;200.0000;22.9027;7.3857;4.7983;0
21.9902;0.0001;-0.0016;-0.3332;9.5408;14.4933;37.7004;200.0000;22.9281;7.3866;4.7985;0
22.5406;-0.0000;-0.0017;-0.3333;9.5403;14.4913;37.6829;200.0000;22.9538;7.3876;4.7985;0
23.0901;-0.0001;-0.0018;-0.3333;9.5399;14.4889;37.6652;200.0000;22.9789;7.3882;4.7986;0
23.6431;-0.0001;-0.0019;-0.3332;9.5387;14.4849;37.6435;200.0000;23.0100;7.3902;4.7995;0
24.2038;-0.0001;-0.0020;-0.3331;9.5366;14.4803;37.6213;200.0000;23.0438;7.3934;4.8008;0
24.7813;-0.0000;-0.0021;-0.3330;9.5351;14.4762;37.5981;200.0000;23.0772;7.3962;4.8022;0
25.3810;0.0000;-0.0022;-0.3329;9.5334;14.4719;37.5751;200.0000;23.1115;7.3987;4.8033;0
26.0037;0.0001;-0.0023;-0.3328;9.5317;14.4670;37.5510;200.0000;23.1472;7.4014;4.8046;0
26.6453;0.0001;-0.0024;-0.3327;9.5304;14.4631;37.5276;200.0000;23.1812;7.4036;4.8053;0
27.3017;0.0001;-0.0025;-0.3327;9.5292;14.4591;37.5043;200.0000;23.2158;7.4056;4.8061;0
